dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
raw,282,59,2,1,0,0,0,0,0,0,6,1
raw,805,179,8,0,2,0,0,0,2,1,25,3
raw,670,153,6,0,0,0,0,0,0,0,17,5
raw,62,15,1,0,0,0,0,0,0,1,5,0
raw,280,67,8,0,0,0,0,0,0,1,6,3
raw,461,110,3,0,1,0,0,0,0,2,18,6
raw,286,59,4,2,0,0,0,0,1,1,8,2
raw,426,96,1,5,0,0,0,0,0,2,20,3
raw,1070,270,6,6,4,0,0,0,4,5,22,1
raw,479,118,7,0,0,0,0,0,0,0,7,1
raw,67,13,1,0,0,0,0,0,0,0,4,0
raw,323,78,8,0,0,0,0,0,0,2,11,2
raw,81,19,1,0,0,0,0,0,0,1,3,0
raw,487,97,1,0,0,0,0,0,0,1,19,0
raw,83,25,3,0,0,0,0,0,0,1,1,1
raw,31,7,1,1,0,0,0,0,1,0,2,0
raw,347,74,5,0,0,0,0,0,0,0,11,6
raw,96,22,1,0,0,0,0,0,0,0,2,0
raw,113,21,2,0,0,0,0,0,0,0,3,3
raw,211,51,2,0,0,0,0,0,0,1,8,2
raw,160,42,6,0,0,0,0,0,0,1,7,0
raw,378,85,6,0,0,0,0,0,0,1,6,6
raw,192,37,4,0,0,0,0,0,0,0,9,2
raw,305,71,8,0,0,0,0,0,0,0,11,7
raw,13,3,1,0,0,0,0,0,0,0,0,1
raw,157,43,1,1,0,0,0,0,0,1,8,0
raw,59,16,1,0,0,0,0,0,0,0,5,0
raw,57,11,1,0,0,0,0,0,0,0,4,0
raw,1124,258,18,0,0,0,0,0,1,0,33,7
raw,340,73,3,0,2,0,0,0,0,0,10,0
raw,530,119,2,0,0,0,0,0,0,0,15,3
raw,675,143,4,6,1,0,0,0,1,1,15,3
raw,38,7,1,0,0,0,0,0,1,0,1,0
raw,244,60,3,0,0,0,0,0,0,0,6,0
raw,342,70,4,0,0,0,0,0,1,1,16,1
raw,52,12,1,0,0,0,0,0,0,0,3,1
raw,138,33,2,1,0,0,0,0,0,1,8,1
raw,389,79,4,0,0,0,0,0,0,0,9,3
raw,537,106,6,0,0,0,0,0,0,0,10,5
raw,189,37,1,0,0,0,0,0,0,0,7,1
raw,96,21,1,0,0,0,0,0,0,0,4,0
raw,222,58,6,0,0,0,0,0,1,0,6,2
raw,424,88,3,0,0,0,0,0,0,0,8,0
raw,187,46,3,0,0,0,0,0,0,0,3,1
raw,245,50,3,1,0,0,0,0,0,0,5,2
raw,512,127,7,0,0,0,0,0,1,0,15,2
raw,131,23,1,1,0,0,0,0,0,0,5,2
raw,418,86,6,0,2,0,0,0,0,0,10,3
raw,413,99,4,0,1,0,0,0,0,3,10,1
raw,94,23,1,0,0,0,0,0,0,2,1,1
raw,469,111,8,0,0,0,0,0,0,2,12,4
raw,895,201,11,4,0,0,0,0,1,12,32,3
raw,192,46,2,0,0,0,0,0,0,0,4,0
raw,818,186,9,0,1,0,0,0,0,3,23,2
raw,80,20,2,0,0,0,0,0,0,1,4,0
raw,114,29,1,0,0,0,0,0,0,0,2,0
raw,160,40,6,1,0,0,0,0,0,2,3,0
raw,70,17,2,0,0,0,0,0,0,0,4,0
raw,7,2,1,0,0,0,0,0,0,0,0,0
raw,54,11,1,0,0,0,0,0,0,0,1,0
raw,123,29,1,0,0,0,0,0,0,1,5,1
raw,216,42,1,1,0,0,0,0,0,0,7,1
raw,501,109,5,0,0,0,0,0,0,1,9,2
raw,243,57,7,0,0,0,0,0,0,2,10,1
raw,41,10,2,0,0,0,0,0,0,0,0,2
raw,629,141,8,0,0,0,0,0,0,1,13,2
raw,504,125,5,4,1,0,0,0,0,5,12,1
raw,248,53,4,0,0,0,0,0,0,0,7,4
raw,1450,308,18,0,0,0,0,0,2,3,33,7
raw,852,192,10,0,0,0,0,0,1,0,26,2
raw,207,50,4,0,0,0,0,0,0,0,8,0
raw,476,107,10,0,0,0,0,0,0,0,14,4
raw,113,26,2,0,0,0,0,0,0,0,1,3
raw,156,34,3,0,0,0,0,0,0,1,5,1
raw,1524,343,7,2,4,0,0,0,2,3,34,2
raw,92,23,3,0,0,0,0,0,0,1,1,0
raw,149,32,1,0,0,0,0,0,0,0,5,2
raw,225,54,3,1,0,0,0,0,0,1,8,0
raw,897,214,15,0,0,0,0,0,0,2,29,2
raw,1265,264,17,0,1,0,0,0,0,3,36,1
raw,94,19,1,0,0,0,0,0,0,0,2,1
raw,340,79,4,1,0,0,0,0,0,4,9,2
raw,701,142,2,2,0,0,0,0,4,1,25,0
raw,45,12,1,1,0,0,0,0,1,0,1,0
raw,612,137,7,1,0,0,0,0,0,0,22,4
raw,183,36,1,0,0,0,0,0,0,1,10,0
raw,687,160,11,0,0,0,0,0,0,0,22,3
raw,395,97,1,2,1,0,0,0,0,2,7,0
raw,163,43,1,0,0,0,0,0,0,3,8,0
raw,306,67,4,0,0,0,0,0,0,2,9,3
raw,493,106,8,0,0,0,0,0,0,0,7,1
raw,173,41,2,1,0,0,0,0,0,0,3,1
raw,290,57,5,0,0,0,0,0,0,0,3,3
raw,422,93,6,1,0,0,0,0,0,3,9,0
raw,4,1,1,0,0,0,0,0,0,0,1,0
raw,1301,305,21,0,0,0,0,0,0,0,32,2
raw,1532,345,11,4,0,0,0,0,1,3,41,4
raw,284,52,1,0,1,0,0,0,0,0,9,3
raw,255,46,2,0,0,0,0,0,0,0,27,0
raw,500,104,3,0,0,0,0,0,1,0,19,3
raw,289,64,6,2,0,0,0,0,0,0,3,2
raw,151,33,1,0,0,0,0,0,0,1,6,3
raw,71,14,1,1,0,0,0,0,0,0,2,3
raw,73,13,1,0,0,0,0,0,0,0,1,2
raw,243,49,1,0,0,0,0,0,0,0,14,2
raw,1035,209,7,0,3,0,0,0,0,0,109,0
raw,448,109,5,0,0,0,0,0,0,1,11,2
raw,517,105,2,0,0,0,0,0,0,1,62,0
raw,447,108,5,0,3,0,0,0,0,4,20,1
raw,375,88,6,1,0,0,0,0,0,0,9,0
raw,507,118,5,0,0,0,0,0,0,0,12,5
raw,684,160,8,0,0,0,0,0,0,2,25,0
raw,338,73,6,0,0,0,0,0,0,3,9,1
raw,500,118,7,0,0,0,0,0,0,1,12,1
raw,381,87,3,5,0,0,0,0,1,0,16,0
raw,443,105,4,3,0,0,0,0,0,3,6,1
raw,462,107,9,0,0,0,0,0,1,0,17,1
raw,551,122,10,1,0,0,0,0,1,0,15,2
raw,144,31,1,0,1,0,0,0,0,0,7,1
raw,66,15,2,0,0,0,0,0,0,0,3,0
raw,54,12,1,0,0,0,0,0,0,0,3,0
raw,290,56,5,0,0,0,0,0,0,0,9,2
raw,338,87,5,4,0,0,0,0,0,1,9,1
raw,623,123,5,0,0,0,0,0,0,0,14,3
raw,262,64,7,1,0,0,0,0,0,0,7,0
raw,185,46,2,0,0,0,0,0,0,0,3,0
raw,460,90,6,0,0,0,0,0,0,2,17,0
